Name,About,Course Description,title_tokens,about_tokens,description_tokens
Business Strategy from Wharton: Competitive Advantage,Learn how to develop and execute strategies to gain competitive advantage and improve your position in the marketplace.,"Maintaining a competitive advantage takes more than great timing or a single solution. Sustainable advantage requires a well-designed and well-executed strategy. This course was created to give you the tools and frameworks you need to develop and execute a successful strategy.You’ll learn how to evaluate your own strategy, as well as how to locate sources of potential competitive advantage from a perspective that encompasses the internal, external, and dynamic fit of your strategy. You’ll also learn how to enhance your ability to assess the strategic impact of the moves of your competitors and how to maintain competitive advantage, understand the general drivers that create and sustain competitive advantage, and how to identify organizational barriers to change.By the end of this course, you’ll be able to assess and redesign your current strategy and develop plans for effective implementation to give your firm a competitive advantage. Business & Management","['business', 'strategy', 'wharton', 'competitive', 'advantage']","['learn', 'develop', 'execute', 'strategy', 'gain', 'competitive', 'advantage', 'improve', 'position', 'marketplace']","['maintaining', 'competitive', 'advantage', 'take', 'great', 'timing', 'single', 'solution', 'sustainable', 'advantage', 'requires', 'welldesigned', 'wellexecuted', 'strategy', 'course', 'created', 'give', 'tool', 'framework', 'need', 'develop', 'execute', 'successful', 'strategyyou', '’', 'learn', 'evaluate', 'strategy', 'well', 'locate', 'source', 'potential', 'competitive', 'advantage', 'perspective', 'encompasses', 'internal', 'external', 'dynamic', 'fit', 'strategy', '’', 'also', 'learn', 'enhance', 'ability', 'assess', 'strategic', 'impact', 'move', 'competitor', 'maintain', 'competitive', 'advantage', 'understand', 'general', 'driver', 'create', 'sustain', 'competitive', 'advantage', 'identify', 'organizational', 'barrier', 'changeby', 'end', 'course', '’', 'able', 'assess', 'redesign', 'current', 'strategy', 'develop', 'plan', 'effective', 'implementation', 'give', 'firm', 'competitive', 'advantage', 'business', 'management']"
"Six Sigma: Analyze, Improve, Control","Learn how to statistically analyze process data to determine the root cause and propose solutions for process problems, to implement quality management tools, such as 8D and the 5 Whys, and to understand the concept of Design for Six Sigma (DFSS).","Learn how to statistically analyze data with the Six Sigma methodology using inferential statistical techniques to determine confidence intervals and to test hypotheses based on sample data. You will also review cause and effect techniques for root cause analysis.You will learn how to perform correlation and regression analyses in order to confirm the root cause and understand how to improve your process and plan designed experiments.You will learn how to implement statistical process control using control charts and quality management tools, including the 8 Disciplines and the 5 Whys to reduce risk and manage process deviations.To complement the lectures, learners are provided with interactive exercises, which allow learners to see the statistics ""in action."" Learners then master statistical concepts by completing practice problems. These are then reinforced using interactive case studies, which illustrate the application of the statistics in quality improvement situations.Upon successful completion of this program, learners will earn the TUM Lean and Six Sigma Yellow Belt certification, confirming mastery of Lean Six Sigma fundamentals to a Green Belt level. The material is based on the American Society for Quality (www.asq.org) Body of Knowledge up to a Green Belt Level. The Professional Certificate is designed as preparation for a Lean Six Sigma Green Belt exam. Business & Management","['six', 'sigma', 'analyze', 'improve', 'control']","['learn', 'statistically', 'analyze', 'process', 'data', 'determine', 'root', 'cause', 'propose', 'solution', 'process', 'problem', 'implement', 'quality', 'management', 'tool', 'why', 'understand', 'concept', 'design', 'six', 'sigma', 'dfss']","['learn', 'statistically', 'analyze', 'data', 'six', 'sigma', 'methodology', 'using', 'inferential', 'statistical', 'technique', 'determine', 'confidence', 'interval', 'test', 'hypothesis', 'based', 'sample', 'data', 'also', 'review', 'cause', 'effect', 'technique', 'root', 'cause', 'analysisyou', 'learn', 'perform', 'correlation', 'regression', 'analysis', 'order', 'confirm', 'root', 'cause', 'understand', 'improve', 'process', 'plan', 'designed', 'experimentsyou', 'learn', 'implement', 'statistical', 'process', 'control', 'using', 'control', 'chart', 'quality', 'management', 'tool', 'including', 'discipline', 'why', 'reduce', 'risk', 'manage', 'process', 'deviationsto', 'complement', 'lecture', 'learner', 'provided', 'interactive', 'exercise', 'allow', 'learner', 'see', 'statistic', 'action', 'learner', 'master', 'statistical', 'concept', 'completing', 'practice', 'problem', 'reinforced', 'using', 'interactive', 'case', 'study', 'illustrate', 'application', 'statistic', 'quality', 'improvement', 'situationsupon', 'successful', 'completion', 'program', 'learner', 'earn', 'tum', 'lean', 'six', 'sigma', 'yellow', 'belt', 'certification', 'confirming', 'mastery', 'lean', 'six', 'sigma', 'fundamental', 'green', 'belt', 'level', 'material', 'based', 'american', 'society', 'quality', 'wwwasqorg', 'body', 'knowledge', 'green', 'belt', 'level', 'professional', 'certificate', 'designed', 'preparation', 'lean', 'six', 'sigma', 'green', 'belt', 'exam', 'business', 'management']"
AP® Microeconomics,An overview of Beginner microeconomics. Learn the key principles of economics and how to apply them to the real world - and the AP® exam!,"Want to learn how individuals and businesses make the decisions that drive our economy - and use those skills to ace the Microeconomics AP® exam? This is the course for you!This economics course is an introduction to basic microeconomic principles. You will learn how individuals make decisions ranging from what type of goods to buy to how many hours to work, and how firms make decisions ranging from how many workers to hire to what prices to charge. You will study how to evaluate economic outcomes from the perspective of efficiency and fairness, and discuss the proper role of the government in determining these outcomes.This course will cover all material that is required for the Microeconomics AP® exam. It will cover this material through a mix of intuitive explanations, real-world applications, and graphical and mathematical supplements that explore the content in more depth. By the end of the course, not only will you have an understanding of the most important principles of microeconomics, but you’ll be able to use these principles to better understand the workings of the real world around you!*Advanced Placement® and AP® are trademarks registered and/or owned by the College Board, which was not involved in the production of, and does not endorse, these offerings. Economics & Finance","['ap®', 'microeconomics']","['overview', 'beginner', 'microeconomics', 'learn', 'key', 'principle', 'economics', 'apply', 'real', 'world', 'ap®', 'exam']","['want', 'learn', 'individual', 'business', 'make', 'decision', 'drive', 'economy', 'use', 'skill', 'ace', 'microeconomics', 'ap®', 'exam', 'course', 'youthis', 'economics', 'course', 'introduction', 'basic', 'microeconomic', 'principle', 'learn', 'individual', 'make', 'decision', 'ranging', 'type', 'good', 'buy', 'many', 'hour', 'work', 'firm', 'make', 'decision', 'ranging', 'many', 'worker', 'hire', 'price', 'charge', 'study', 'evaluate', 'economic', 'outcome', 'perspective', 'efficiency', 'fairness', 'discus', 'proper', 'role', 'government', 'determining', 'outcomesthis', 'course', 'cover', 'material', 'required', 'microeconomics', 'ap®', 'exam', 'cover', 'material', 'mix', 'intuitive', 'explanation', 'realworld', 'application', 'graphical', 'mathematical', 'supplement', 'explore', 'content', 'depth', 'end', 'course', 'understanding', 'important', 'principle', 'microeconomics', '’', 'able', 'use', 'principle', 'better', 'understand', 'working', 'real', 'world', 'around', 'youadvanced', 'placement®', 'ap®', 'trademark', 'registered', 'andor', 'owned', 'college', 'board', 'involved', 'production', 'endorse', 'offering', 'economics', 'finance']"
Engineering Calculus and Differential Equations,"Learn fundamental concepts of single-variable calculus and ordinary differential equations, as well as their applications in engineering fields. Apply mathematical skills to model and solve engineering problems.","How do electrical engineers find out all the currents and voltages in a network of connected components? How do civil engineers calculate the materials necessary to construct a curved dome over a new sports arena? How do space flight engineers launch an exploratory probe? If questions like these pique your interest, this course is for you! Calculus with differential equations is the universal language of engineers. In this course, “Engineering Calculus and Differential Equations,” we will introduce fundamental concepts of single-variable calculus and ordinary differential equations. We'll explore their applications in different engineering fields. In particular, you will learn how to apply mathematical skills to model and solve real engineering problems. This course will enable you to develop a more profound understanding of engineering concepts and enhance your skills in solving engineering problems. In other words, youwill be able to construct relatively simple models of change and deduce their consequences. By studying these, youwill learn how to monitor and even controla given system to do what you want it to do. Techniques widely used in engineering will be illustrated; such as Laplace transform for solving problems in vibrations and signal processing. We have designed animations and interactive visualizations to supplement complex mathematical theories and facilitate understanding of the dynamic nature of topics involving calculus. Math","['engineering', 'calculus', 'differential', 'equation']","['learn', 'fundamental', 'concept', 'singlevariable', 'calculus', 'ordinary', 'differential', 'equation', 'well', 'application', 'engineering', 'field', 'apply', 'mathematical', 'skill', 'model', 'solve', 'engineering', 'problem']","['electrical', 'engineer', 'find', 'current', 'voltage', 'network', 'connected', 'component', 'civil', 'engineer', 'calculate', 'material', 'necessary', 'construct', 'curved', 'dome', 'new', 'sport', 'arena', 'space', 'flight', 'engineer', 'launch', 'exploratory', 'probe', 'question', 'like', 'pique', 'interest', 'course', 'calculus', 'differential', 'equation', 'universal', 'language', 'engineer', 'course', '“', 'engineering', 'calculus', 'differential', 'equation', '”', 'introduce', 'fundamental', 'concept', 'singlevariable', 'calculus', 'ordinary', 'differential', 'equation', 'well', 'explore', 'application', 'different', 'engineering', 'field', 'particular', 'learn', 'apply', 'mathematical', 'skill', 'model', 'solve', 'real', 'engineering', 'problem', 'course', 'enable', 'develop', 'profound', 'understanding', 'engineering', 'concept', 'enhance', 'skill', 'solving', 'engineering', 'problem', 'word', 'youwill', 'able', 'construct', 'relatively', 'simple', 'model', 'change', 'deduce', 'consequence', 'studying', 'youwill', 'learn', 'monitor', 'even', 'controla', 'given', 'system', 'want', 'technique', 'widely', 'used', 'engineering', 'illustrated', 'laplace', 'transform', 'solving', 'problem', 'vibration', 'signal', 'processing', 'designed', 'animation', 'interactive', 'visualization', 'supplement', 'complex', 'mathematical', 'theory', 'facilitate', 'understanding', 'dynamic', 'nature', 'topic', 'involving', 'calculus', 'math']"
Linear Algebra - Foundations to Frontiers,Learn the mathematics behind linear algebra and link it to matrix software development.,"Linear Algebra: Foundations to Frontiers (LAFF) is packed full of challenging, rewarding material that is essential for mathematicians, engineers, scientists, and anyone working with large datasets. Students appreciate our unique approach to teaching linear algebra because:In this course, you will learn all the standard topics that are taught in typical undergraduate linear algebra courses all over the world, but using our unique method, you'll also get more! LAFF was developed following the syllabus of an Beginner linear algebra course at The University of Texas at Austin taught by Professor Robert van de Geijn, an expert on high performance linear algebra libraries. Through short videos, exercises, visualizations, and programming assignments, you will study Vector and Matrix Operations, Linear Transformations, Solving Systems of Equations, Vector Spaces, Linear Least-Squares, and Eigenvalues and Eigenvectors. In addition, you will get a glimpse of cutting edge research on the development of linear algebra libraries, which are used throughout computational science.MATLAB licenses will be made available to the participants free of charge for the duration of the course. To see what former learners have to say about the course, read reviews on coursetalk.We invite you to LAFF with us! Computer Science","['linear', 'algebra', 'foundation', 'frontier']","['learn', 'mathematics', 'behind', 'linear', 'algebra', 'link', 'matrix', 'software', 'development']","['linear', 'algebra', 'foundation', 'frontier', 'laff', 'packed', 'full', 'challenging', 'rewarding', 'material', 'essential', 'mathematician', 'engineer', 'scientist', 'anyone', 'working', 'large', 'datasets', 'student', 'appreciate', 'unique', 'approach', 'teaching', 'linear', 'algebra', 'becausein', 'course', 'learn', 'standard', 'topic', 'taught', 'typical', 'undergraduate', 'linear', 'algebra', 'course', 'world', 'using', 'unique', 'method', 'youll', 'also', 'get', 'laff', 'developed', 'following', 'syllabus', 'beginner', 'linear', 'algebra', 'course', 'university', 'texas', 'austin', 'taught', 'professor', 'robert', 'van', 'de', 'geijn', 'expert', 'high', 'performance', 'linear', 'algebra', 'library', 'short', 'video', 'exercise', 'visualization', 'programming', 'assignment', 'study', 'vector', 'matrix', 'operation', 'linear', 'transformation', 'solving', 'system', 'equation', 'vector', 'space', 'linear', 'leastsquares', 'eigenvalue', 'eigenvectors', 'addition', 'get', 'glimpse', 'cutting', 'edge', 'research', 'development', 'linear', 'algebra', 'library', 'used', 'throughout', 'computational', 'sciencematlab', 'license', 'made', 'available', 'participant', 'free', 'charge', 'duration', 'course', 'see', 'former', 'learner', 'say', 'course', 'read', 'review', 'coursetalkwe', 'invite', 'laff', 'u', 'computer', 'science']"
Effective Communication for Today's Leader,Identify and develop the most important communication skills: assertiveness and empathy.,"Interpersonal communication is one of the most important management skills: everyday we relate with our bosses, collaborators, customers and colleagues.Being a good communicator is synonym to being a good leader.Interpersonal and group communication helps us to create better business environments, and therefore, to have better results.Understand the importance of communication in people's lives and thus boost the improvement in our ability to effectively socialize.Identify the concept of communication to clarify its importance.Develop communication skills: assertiveness and empathy.Apply communication skills to performance feedback and achieve organizational objectives. Business & Management","['effective', 'communication', 'today', 'leader']","['identify', 'develop', 'important', 'communication', 'skill', 'assertiveness', 'empathy']","['interpersonal', 'communication', 'one', 'important', 'management', 'skill', 'everyday', 'relate', 'boss', 'collaborator', 'customer', 'colleaguesbeing', 'good', 'communicator', 'synonym', 'good', 'leaderinterpersonal', 'group', 'communication', 'help', 'u', 'create', 'better', 'business', 'environment', 'therefore', 'better', 'resultsunderstand', 'importance', 'communication', 'people', 'life', 'thus', 'boost', 'improvement', 'ability', 'effectively', 'socializeidentify', 'concept', 'communication', 'clarify', 'importancedevelop', 'communication', 'skill', 'assertiveness', 'empathyapply', 'communication', 'skill', 'performance', 'feedback', 'achieve', 'organizational', 'objective', 'business', 'management']"
Electric Cars: Technology,Get an in-depth understanding of the technology behind electric cars.,"Electric cars are more than a novel means of mobility. They have been recognized as an essential building block of the energy transition. Fulfilling their promise will imply a significant change in the technical, digital and social dimensions of transport and energy infrastructure. If you are interested in learning about the state-of-the-art technology behind electric cars, then this is the course for you! This course focuses on the technology behind electric cars. You will explore the working principle of electric vehicles, delve into the key roles played by motors and power electronics, learn about battery technology, EV charging, smart charging and about future trends in the development of electric cars. The course includes video lectures, presentations and exercises, which are all illustrated with real-world case studies from projects that were implemented in the Netherlands. This course was co-developed by Dutch Innovation Centre for Electric Road Transport (Dutch-INCERT) and TU Delft and is taught by experts from both the industry and academia, who share their knowledge and insights. Join the course and be prepared for the upcoming developments amid the transition to electric vehicles! Engineering","['electric', 'car', 'technology']","['get', 'indepth', 'understanding', 'technology', 'behind', 'electric', 'car']","['electric', 'car', 'novel', 'mean', 'mobility', 'recognized', 'essential', 'building', 'block', 'energy', 'transition', 'fulfilling', 'promise', 'imply', 'significant', 'change', 'technical', 'digital', 'social', 'dimension', 'transport', 'energy', 'infrastructure', 'interested', 'learning', 'stateoftheart', 'technology', 'behind', 'electric', 'car', 'course', 'course', 'focus', 'technology', 'behind', 'electric', 'car', 'explore', 'working', 'principle', 'electric', 'vehicle', 'delve', 'key', 'role', 'played', 'motor', 'power', 'electronics', 'learn', 'battery', 'technology', 'ev', 'charging', 'smart', 'charging', 'future', 'trend', 'development', 'electric', 'car', 'course', 'includes', 'video', 'lecture', 'presentation', 'exercise', 'illustrated', 'realworld', 'case', 'study', 'project', 'implemented', 'netherlands', 'course', 'codeveloped', 'dutch', 'innovation', 'centre', 'electric', 'road', 'transport', 'dutchincert', 'tu', 'delft', 'taught', 'expert', 'industry', 'academia', 'share', 'knowledge', 'insight', 'join', 'course', 'prepared', 'upcoming', 'development', 'amid', 'transition', 'electric', 'vehicle', 'engineering']"
Site Planning Online,"How to plan a site, its infrastructure and public spaces so that it is sustainable, supports human needs, compatible with its natural and man-made surroundings, adaptable and economically efficient. The course includes many examples of well planned sites.","Cities are built site by site. Site planning has been taught in urban planning, landscape architecture and architecture programs for over a century and continues to be a foundation course for those who aspire to plan the built environment. It is a required subject on licensing and certification programs for each of these disciplines. Mastering the art of site planning requires substantive knowledge, well-honed design skills, and familiarity with examples and prototypes of site organization. This course provides the perspectives of leading academics and practitioners on the important issues in preparing site plans. It offers a foundation of knowledge, and the opportunity to apply what is learned in preparing a site plan.How to analyze a site and imagine the possibilities for its use. How to create a program and a plan for a site. How to make choices about site infrastructure. Examples of well planned sites. Design","['site', 'planning', 'online']","['plan', 'site', 'infrastructure', 'public', 'space', 'sustainable', 'support', 'human', 'need', 'compatible', 'natural', 'manmade', 'surroundings', 'adaptable', 'economically', 'efficient', 'course', 'includes', 'many', 'example', 'well', 'planned', 'site']","['city', 'built', 'site', 'site', 'site', 'planning', 'taught', 'urban', 'planning', 'landscape', 'architecture', 'architecture', 'program', 'century', 'continues', 'foundation', 'course', 'aspire', 'plan', 'built', 'environment', 'required', 'subject', 'licensing', 'certification', 'program', 'discipline', 'mastering', 'art', 'site', 'planning', 'requires', 'substantive', 'knowledge', 'wellhoned', 'design', 'skill', 'familiarity', 'example', 'prototype', 'site', 'organization', 'course', 'provides', 'perspective', 'leading', 'academic', 'practitioner', 'important', 'issue', 'preparing', 'site', 'plan', 'offer', 'foundation', 'knowledge', 'opportunity', 'apply', 'learned', 'preparing', 'site', 'planhow', 'analyze', 'site', 'imagine', 'possibility', 'use', 'create', 'program', 'plan', 'site', 'make', 'choice', 'site', 'infrastructure', 'example', 'well', 'planned', 'site', 'design']"
Macroeconometric Forecasting,Learn how to create and assess forecasting models to predict macroeconomic variables such as inflation and economic growth.,"In this macroeconomics course, you will learn to predict macroeconomic variables such as inflation, growth or consumption, and to create statistical models in economics and use them to predict responses to economic policy.You will learn from hands-on demonstrations of model-building, forecasting and policy analysis, using data sets from a wide variety of countries. Demonstrations and applications will be conducted using EViews —a popular software for estimating and simulating forecasting models on Windows. Free, temporary licenses for EViews will be made available for the duration of the course.Macroeconometric Forecasting is offered by the IMF with financial support from the Government of Japan. Economics & Finance","['macroeconometric', 'forecasting']","['learn', 'create', 'assess', 'forecasting', 'model', 'predict', 'macroeconomic', 'variable', 'inflation', 'economic', 'growth']","['macroeconomics', 'course', 'learn', 'predict', 'macroeconomic', 'variable', 'inflation', 'growth', 'consumption', 'create', 'statistical', 'model', 'economics', 'use', 'predict', 'response', 'economic', 'policyyou', 'learn', 'handson', 'demonstration', 'modelbuilding', 'forecasting', 'policy', 'analysis', 'using', 'data', 'set', 'wide', 'variety', 'country', 'demonstration', 'application', 'conducted', 'using', 'eviews', '—a', 'popular', 'software', 'estimating', 'simulating', 'forecasting', 'model', 'window', 'free', 'temporary', 'license', 'eviews', 'made', 'available', 'duration', 'coursemacroeconometric', 'forecasting', 'offered', 'imf', 'financial', 'support', 'government', 'japan', 'economics', 'finance']"
Algorithms,Learn how to structure and use algorithms to solve real life problems.,"Algorithms power the biggest web companies and the most promising startups. Interviews at tech companies start with questions that probe for good algorithm thinking.In this computer science course, you will learn how to think about algorithms and create them using sorting techniques such as quick sort and merge sort, and searching algorithms, median finding, and order statistics.The course progresses with Numerical, String, and Geometric algorithms like Polynomial Multiplication, Matrix Operations, GCD, Pattern Matching, Subsequences, Sweep, and Convex Hull. It concludes with graph algorithms like shortest path and spanning tree.Topics covered:This course is part of the Fundamentals of Computer Science XSeries Program: Computer Science",['algorithm'],"['learn', 'structure', 'use', 'algorithm', 'solve', 'real', 'life', 'problem']","['algorithm', 'power', 'biggest', 'web', 'company', 'promising', 'startup', 'interview', 'tech', 'company', 'start', 'question', 'probe', 'good', 'algorithm', 'thinkingin', 'computer', 'science', 'course', 'learn', 'think', 'algorithm', 'create', 'using', 'sorting', 'technique', 'quick', 'sort', 'merge', 'sort', 'searching', 'algorithm', 'median', 'finding', 'order', 'statisticsthe', 'course', 'progress', 'numerical', 'string', 'geometric', 'algorithm', 'like', 'polynomial', 'multiplication', 'matrix', 'operation', 'gcd', 'pattern', 'matching', 'subsequence', 'sweep', 'convex', 'hull', 'concludes', 'graph', 'algorithm', 'like', 'shortest', 'path', 'spanning', 'treetopics', 'coveredthis', 'course', 'part', 'fundamental', 'computer', 'science', 'xseries', 'program', 'computer', 'science']"
Calculus Applied!,"Apply tools of single-variable calculus to create and analyze mathematical models used by real practitioners in social, life, and physical sciences.","In this course, we go beyond the calculus textbook, working with practitioners in social, life and physical sciences to understand how calculus and mathematical models play a role in their work.Through a series of case studies, you’ll learn:With real practitioners as your guide, you’ll explore these situations in a hands-on way: looking at data and graphs, writing equations, doing calculus computations, and making educated guesses and predictions.This course provides a unique supplement to a course in single-variable calculus. Key topics include application of derivatives, integrals and differential equations, mathematical models and parameters.This course is for anyone who has completed or is currently taking a single-variable calculus course (differential and integral), at the high school (AP or IB) or college/university level. You will need to be familiar with the basics of derivatives, integrals, and differential equations, as well as functions involving polynomials, exponentials, and logarithms.This is a course to learn applications of calculus to other fields, and NOT a course to learn the basics of calculus. Whether you’re a student who has just finished an Beginner Calculus course or a teacher looking for more authentic examples for your classroom, there is something for you to learn here, and we hope you’ll join us! Math","['calculus', 'applied']","['apply', 'tool', 'singlevariable', 'calculus', 'create', 'analyze', 'mathematical', 'model', 'used', 'real', 'practitioner', 'social', 'life', 'physical', 'science']","['course', 'go', 'beyond', 'calculus', 'textbook', 'working', 'practitioner', 'social', 'life', 'physical', 'science', 'understand', 'calculus', 'mathematical', 'model', 'play', 'role', 'workthrough', 'series', 'case', 'study', '’', 'learnwith', 'real', 'practitioner', 'guide', '’', 'explore', 'situation', 'handson', 'way', 'looking', 'data', 'graph', 'writing', 'equation', 'calculus', 'computation', 'making', 'educated', 'guess', 'predictionsthis', 'course', 'provides', 'unique', 'supplement', 'course', 'singlevariable', 'calculus', 'key', 'topic', 'include', 'application', 'derivative', 'integral', 'differential', 'equation', 'mathematical', 'model', 'parametersthis', 'course', 'anyone', 'completed', 'currently', 'taking', 'singlevariable', 'calculus', 'course', 'differential', 'integral', 'high', 'school', 'ap', 'ib', 'collegeuniversity', 'level', 'need', 'familiar', 'basic', 'derivative', 'integral', 'differential', 'equation', 'well', 'function', 'involving', 'polynomial', 'exponential', 'logarithmsthis', 'course', 'learn', 'application', 'calculus', 'field', 'course', 'learn', 'basic', 'calculus', 'whether', '’', 'student', 'finished', 'beginner', 'calculus', 'course', 'teacher', 'looking', 'authentic', 'example', 'classroom', 'something', 'learn', 'hope', '’', 'join', 'u', 'math']"
Precalculus,"This college-level, credit-eligible Precalculus course will teach you the skills required for success in future Calculus studies.","This course is part of Global Freshman Academy (GFA), which means you can earn transferable ASU credit toward your college degree.In this college-level Precalculus course, you will prepare for calculus by focusing on quantitative reasoning and functions. You’ll develop the skills to describe the behavior and properties of linear, exponential, logarithmic, polynomial, rational, and trigonometric functions.Content in this course will be adaptive, allowing you to achieve mastery in a certain concept before moving on to the next. Utilizing the ALEKS learning system, students in this personalized, self-paced course will be instructed on the topics they are most ready to learn while also providing individualized coaching as you move through each topic.Before taking this course, you should already have a strong understanding of algebraic skills such as factoring, basic equation solving, and the rules of exponents and radicals.This 3 credit hour course satisfies the Mathematical Studies (MA) general studies requirement at Arizona State University. The cost to convert to credit is $600. This course may satisfy a general education requirement at other institutions; however, it is strongly encouraged that you consult with your institution of choice to determine how these credits will be applied to their degree requirements prior to transferring the credit. Math",['precalculus'],"['collegelevel', 'crediteligible', 'precalculus', 'course', 'teach', 'skill', 'required', 'success', 'future', 'calculus', 'study']","['course', 'part', 'global', 'freshman', 'academy', 'gfa', 'mean', 'earn', 'transferable', 'asu', 'credit', 'toward', 'college', 'degreein', 'collegelevel', 'precalculus', 'course', 'prepare', 'calculus', 'focusing', 'quantitative', 'reasoning', 'function', '’', 'develop', 'skill', 'describe', 'behavior', 'property', 'linear', 'exponential', 'logarithmic', 'polynomial', 'rational', 'trigonometric', 'functionscontent', 'course', 'adaptive', 'allowing', 'achieve', 'mastery', 'certain', 'concept', 'moving', 'next', 'utilizing', 'aleks', 'learning', 'system', 'student', 'personalized', 'selfpaced', 'course', 'instructed', 'topic', 'ready', 'learn', 'also', 'providing', 'individualized', 'coaching', 'move', 'topicbefore', 'taking', 'course', 'already', 'strong', 'understanding', 'algebraic', 'skill', 'factoring', 'basic', 'equation', 'solving', 'rule', 'exponent', 'radicalsthis', 'credit', 'hour', 'course', 'satisfies', 'mathematical', 'study', 'general', 'study', 'requirement', 'arizona', 'state', 'university', 'cost', 'convert', 'credit', 'course', 'may', 'satisfy', 'general', 'education', 'requirement', 'institution', 'however', 'strongly', 'encouraged', 'consult', 'institution', 'choice', 'determine', 'credit', 'applied', 'degree', 'requirement', 'prior', 'transferring', 'credit', 'math']"
Business Communications,Learn how to communicate effectively in a business setting: understand diverse audiences and build sound arguments.,"This course, part of the Business Fundamentals Professional Certificate program, will sharpen your writing, presentation, and interpersonal communication skills to help you succeed in the business world. You will learn a range of successful practices and guidelines that have been derived from both research and experience.You will learn strategies for honing your communication style, improving clarity, conciseness and impact. By the end of the course, you will be able to think strategically about all forms of communication, and communicate with diverse audiences. Business & Management","['business', 'communication']","['learn', 'communicate', 'effectively', 'business', 'setting', 'understand', 'diverse', 'audience', 'build', 'sound', 'argument']","['course', 'part', 'business', 'fundamental', 'professional', 'certificate', 'program', 'sharpen', 'writing', 'presentation', 'interpersonal', 'communication', 'skill', 'help', 'succeed', 'business', 'world', 'learn', 'range', 'successful', 'practice', 'guideline', 'derived', 'research', 'experienceyou', 'learn', 'strategy', 'honing', 'communication', 'style', 'improving', 'clarity', 'conciseness', 'impact', 'end', 'course', 'able', 'think', 'strategically', 'form', 'communication', 'communicate', 'diverse', 'audience', 'business', 'management']"
International Women's Health and Human Rights,"This self-paced course provides an overview of women's health and human rights, beginning in infancy and childhood, then moving through adolescence, reproductive years and aging. We consider economic, social, political and human rights factors, and the challenges women face in maintaining health and managing their lives in the face of societal pressures and obstacles.","We focus on critical issues, namely those that may mean life or death to a woman, depending on whether she can exercise her human rights. These critical issues include: being born female and discrimination; poverty; unequal access to education, food, paid work and health care; and various forms of violence. Topics discussed include son preference, education, HIV/AIDS, reproductive health, violence in the home and in war and refugee circumstances, women's work, sex trafficking, and aging.Our MOOC will have a special focus on creating an international network of engaged participants. We will ask participants to take part in interactive discussions to share their own experiences. We also ask participants to engage with the communities they live in, in order to deepen their understanding of the issues and tie academic ideas to real-life circumstances. Social Sciences","['international', 'womens', 'health', 'human', 'right']","['selfpaced', 'course', 'provides', 'overview', 'womens', 'health', 'human', 'right', 'beginning', 'infancy', 'childhood', 'moving', 'adolescence', 'reproductive', 'year', 'aging', 'consider', 'economic', 'social', 'political', 'human', 'right', 'factor', 'challenge', 'woman', 'face', 'maintaining', 'health', 'managing', 'life', 'face', 'societal', 'pressure', 'obstacle']","['focus', 'critical', 'issue', 'namely', 'may', 'mean', 'life', 'death', 'woman', 'depending', 'whether', 'exercise', 'human', 'right', 'critical', 'issue', 'include', 'born', 'female', 'discrimination', 'poverty', 'unequal', 'access', 'education', 'food', 'paid', 'work', 'health', 'care', 'various', 'form', 'violence', 'topic', 'discussed', 'include', 'son', 'preference', 'education', 'hivaids', 'reproductive', 'health', 'violence', 'home', 'war', 'refugee', 'circumstance', 'womens', 'work', 'sex', 'trafficking', 'agingour', 'mooc', 'special', 'focus', 'creating', 'international', 'network', 'engaged', 'participant', 'ask', 'participant', 'take', 'part', 'interactive', 'discussion', 'share', 'experience', 'also', 'ask', 'participant', 'engage', 'community', 'live', 'order', 'deepen', 'understanding', 'issue', 'tie', 'academic', 'idea', 'reallife', 'circumstance', 'social', 'science']"
